*	name	AWL03
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
reveal	"暴露する
 -
 （↓高頻度語）
 （revealed）"
commission	"委員会
 委任・依頼
 手数料
 犯罪"
virtual	"実*質上の*
 (物理) 仮想の
 (光学) 虚像の
 (a virtual image 虚像）
 -
 （↓高頻度語）
 （virtually 実質的には）"
concurrent	同時に起こる
erode	"浸食する
 -
 （↓高頻度語）
 （erosion 浸食）"
purchase	"（名動 同発音）
 （'pә:(r)ʧəs ）
 -
 購入、を購入する"
respond	"応*答*・*反*応する
 -
 （↓高頻度語）
 （response 応答・反応）"
depress	"を気落ちさせる
 を低下させる
 不景気にする
 -
 （↓高頻度語）
 （depression）
 （不況・憂鬱・陥没箇所・低気圧）"
proceed	"*進む* (goの堅い語)
 続*行*する
 -
 （↓高頻度語）
 （procedure 手続き）"
detect	"感知する
 -
 （↓高頻度語）
 （detected）"
attitude	"*態度*
 -
 （↓高頻度語）
 （attitudes）"
clarify	"明らかにする
 -
 （↓高頻度語）
 （clarity 明快さ）"
integral	"*不可欠な*
 (数学:積分)"
technical	"技術上の
 専門的な"
duration	"持続期間
 (持続時間)"
constitute	"*を構成する*
 *を制定する*
 -
 （↓高頻度語）
 (constitutional 憲法の)
 (参考:constitution 憲法)"
medical	"医学の
 内科の"
focus	"焦点
 (the focus 中心・震源地)
 -
 焦点を合わせる(on)
 を集中する(on)"
panel	"*パネル*
 討論者団"
revenue	収入
"maximize
 (英綴り maximise）"	"*を最大にする*
 -
 （↓高頻度語）
 （maximum）
 （最大限､最高の）"
adjust	"調整する
 順応する
 -
 （↓高頻度語）
 （adjustment 調整､順応）"
edit	"編集する
 -
 （↓高頻度語）
 （edition 版）"
remove	"を脱ぐ
 を解任する
 -
 （↓高頻度語）
 （removed 離れた）"
consult	"に相談する
 を調べる(辞書・地図等)
 -
 （↓高頻度語）
 （consultation 相談）"
instance	"*例*
 -
 （代表的な実例 an example）
 （個別的な証拠 an instance）
 （説明のためのan illustration）
 （事例 a case）"
contradict	"反論する
 矛盾する
 -
 （↓高頻度語）
 （contradiction 否定・矛盾）"
minimum	"最小 
 (最小の)"
contribute	"*を寄付する*
 *に貢献する*
 -
 （↓高頻度語）
 （contribution 寄付・貢献・寄与）
 -
 (注：寄付はdonateがふつう contributeは貢献の意が強い)"
drama	"*ドラマ*
 -
 （↓高頻度語）
 （dramatic 劇の・印象的な）"
enforce	"を施行する
 を強制する
 -
 （↓高頻度語）
 （enforcement 実施）"
denote	を意味する
decade	"十年間
 -
 （↓高頻度語）
 （decades）"
alter	を変える
distinct	"明瞭な
 別個の
 -
 （↓高頻度語）
 （distinction）
 （区別・違い・卓越）"
instruct	"と指示する
 教授する
 -
 （↓高頻度語）
 (instructions 教育､助言)"
guarantee	"（名動 同発音）
 保証
 を保証する"
consume	"消費する
 -
 （↓高頻度語）
 （consumer 消費者）"
label	ふだ
reject	"拒絶する
 -
 （↓高頻度語）
 （rejected）"
underlie	"の下にある
 -
 （↓高頻度語）
 (underlying の下にある)"
whereas	"である一方
 (whileの堅い語)"
liberal	"寛大な
 気前のよい
 自由主義の"
suspend	"をつるす
 一時停止する
 -
 （↓高頻度語）
 （suspended）"
transit	"通過
 -
 （↓高頻度語）
 （transition 変遷）"
classic	"*古典*
 -
 （↓高頻度語）
 （classical 古典的な・伝統的な）"
overseas	海外 へ
impact	"衝突させる
 押し込む
 (米: 影響を与える)
 -
 （名詞発音 ímpæct）
 （強い影響・衝突・衝撃）"
minimal	"最小の
 (極小の)"
quote	"引用する
 -
 （↓高頻度語）
 （quotation 引用）"
radical	"根本的な
 過激な"
emerge	"現れる
 -
 （↓高頻度語）
 （emerged）"
topic	話題
sum	合計
theory	"*理論*
 学説
 *推論*"
accumulate	"蓄積する
 -
 （↓AWL高頻度語）
 （accumulation 蓄積）"
retain	"を保つ
 (keepの堅い語)
 -
 （↓高頻度語）
 （retained）"
tradition	"伝統、伝承
 -
 （↓高頻度語）
 （traditional）
 （伝統的な､伝承の）"
devote	"*ささげる*
 -
 （↓高頻度語）
 （devoted 献身的な）"
layer	層 (階層)
section	"部分
 地区
 断面
 (文法:節・項・段落)"
contact	"（名動 同発音）
 接触
 連絡を付ける"
fee	"謝礼
 料金
 (会費､授業料､入場料等)
 -
 （↓高頻度語）
 （fees）"
eliminate	削除する
modify	"*を修正する*
 -
 （↓高頻度語）
 （modified）"
arbitrary	"独断*的*な
 きままな"
publish	"を出版する
 を発表する
 -
 （↓高頻度語）
 （published）"
norm	"*標準*
 -
 （↓高頻度語）
 （norms）"
ensure	"を確実にする
 (保障する)"
implicate	"を関係させる(in)
 -
 （↓高頻度語）
 （implications ）
 （裏の意味）"
monitor	"モニター
 監視する
 -
 （↓高頻度語）
 （monitoring)"
integrate	"を統合する
 -
 （↓高頻度語）
 （integration 統合）"
forthcoming	まさに来ようとしている
"appropriate
 (発音注意 ə-'prou-pri-ət )"	適した
abstract	"抽象的な
 要約"
chart	"図*表*
 -
 (a weather chart:天気図)"
resolve	"を決心する
 を解決する
 -
 （↓高頻度語）
 （resolution）
 （決心・決断力・決議）"
initial	"最初の
 -
 (initials
 姓名頭文字)"
emphasis	強調(on)
method	"方法
 順序(筋道)"
previous	"(時間・順序が) *前の*
 -
 （参考）
 (previous 時間・順序が先行する)
 (priorはpreviousに加え優先性を示唆)
 (preceding 直前の)
 (earlier 時間的に先行する)"
select	"を選ぶ
 精選した"
practitioner	"開業医・弁護士
 -
 （↓高頻度語）
 （practitioners）"
anticipate	"*を予期する*
 -
 （↓高頻度語）
 （anticipated）"
ongoing	"進行中の
 進行"
explicit	明白な
