*	name	瞬間英作文おかわり2-01to10
*	media-dir	0
*	description	0
*	notes	0
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
彼はその時幸運だった。	He was happy then.
ボブは昨日友達と野球をした。	Bob played baseball with his friends yesterday.
エレンは怒っていませんでした。	Ellen wasn't angry.
僕は先週彼に会わなかったよ。	I didn't see him last week.
ナンシーは悲しかったのですか? いえ、違います。	Was Nancy sad? No, she wasn't.
昨日トムは彼女に電話したのですか? はい、しました。	Did Tom call her yesterday? Yes, he did.
彼らは朝食に何を食べましたか? パンを食べました。	What did they eat for breakfast? They ate some bread.
彼女はいつアメリカに行ったのですか?	When did she go to America?
彼女は昨夜ご主人とレストランで夕食を食べました。	She had dinner with her husband at a restaurant last night.
誰がこの本を書いたのですか?	Who wrote this book?
その少女はそのとき友達(複数)と遊んでいました。	The girl was playing with her friends at the time.
エドはその時テレビを見ていたのですか?	Was Ed watching TV then?
彼女は英語の勉強をしていませんでした。	She wasn't studying English.
1時間前、僕のお祖父さんは散歩をしていました。	My grandfather was taking a walk an one hour ago.
そのときルーシーは何をしていましたか? 夕食を料理していました。	What was Lucy doing then? She was cooking dinner.
なぜ君は笑っていたの?	Why were you laughing?
あれらの外人たちは日本語話していたのですか? いえ、違います。	Were those foreigners speaking Japanese? No, they weren't.
僕はその時君のことを考えていたんだよ。	I was thinking about you then.
あなたはどこに行くところだったんですか? 本屋に行くところでした。	Where were you going? I was going to the bookstore.
昨夜トムは弟とチェスをしていた。	Tom was playing chess with his brother last night.
私が起きたとき、晴れていた。	When I got up, it was sunny.
彼女が帰宅したとき、彼女の弟は宿題をしていた。	When she came home, her brother was doing his homework.
暇なとき、あなたは何をしますか?	What do you do when you have free time?
子供の時、彼女は外国に住んでいました。	When she was child, she was living abroad.
歌っているとき、彼女は幸せです。	When she is singing, she is happy.
学校から帰ったら宿題をしなさい。	Do your homework when you get home from school.
去年彼女に会った時、彼女は日本語をよく理解できていませんでした。	When I met her last year, she couldn't understand Japanese well.
彼が窓から外を見た時、雪が降っていた。	When he looked out of the window, it was snowing.
