*	name	GSL04
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
search	"(を)捜す
 捜索"
throw	"(を)投げる
 投げること
 
 (throw, threw, thrown)"
advise	"（発音 [əd-'vai*z*] ） 
 -
 (を)*助言する*
 
 (名詞は advice [əd-'vai*s*] 
 で 綴りも発音も違う）"
track	"足跡
 軌道
 競走路"
police	"警察、警官たち
 (ふつう the policeで
  複数扱とする)
 
 （ 1人の警官は
  policeman, policewoman, 
 公式には police officer）
 ( 呼びかけはOfficer! )"
ambition	"大望
 （野心）"
fry	"を揚げる
 炒める
 揚げ物(フライ)"
pan	平鍋
church	教会
decisive	決定的な
perhaps	"*かもしれない*
 （maybeと同じ）
 （maybeの方が口語的）
 
 ( probably > likely >
 perhapps=maybe > possibly )"
bleed	"出血する
 
 (bleed, bled, bled)"
help	"(を)助ける
 助け
 
 (Heaven helps those who help themselves. 諺)"
possession	所有
harvest	"収穫
 （収穫期）
 （を収穫する）"
spare	"(時間､お金､労力)を割く
 予備の､予備品"
destroy	を破壊する
action	行動
leadership	"指導的地位
 指導力"
girl	少女
much	"たくさんの
 おおいに
 ずっとはるかに
 多量
 
 (文法･辞書を必読)"
pardon	"を許す
 大目に見る
 許し"
splendid	華麗な
headdress	"頭飾り
 (帽子､ヘアバンドの類)"
knife	"ナイフ
 包丁"
stuff	"物
 材料
 に物を詰込む"
grand	壮大な
retire	"退職する
 ( 社会人では定年や
 病気の場合)
 
 （普通の退職や退学は
 quit か leave）"
college	"*大学*
 (総合大学のuniversityと
 一応区別されるが厳密ではない)
 
 (米国では大学・短大ひっくるめて話すときにcollegeという)
 (2012年9月のビジ英 杉田先生による)"
pattern	"模様
 型"
already	すでに､もう
beneath	の下に
rest	"休息
 休む、を休ませる
 残り(the rest)"
arrest	"を逮捕する
 （逮捕）"
dare	あえて・・する
sheep	"羊
 (複数もsheep)"
sometime	"（未来・過去の）
 いつかある時"
reward	"報酬
 に報いる"
message	伝言
apology	謝罪
remain	"居残る
 のままでいる"
than	よりも
main	おもな
wise	賢い
settle	"を安定させる
 を解決する
 定住する"
corn	"(米)とうもろこし
 （英では 小麦）"
lighten	"を明るくする
 照らす
 明るくなる"
overcome	"に打ち勝つ
 を打ち負かす
 
 (overcome, overcame, overcome)"
wind	"風
 
 (異義語 wind 発音[waind] )
 を巻く､を回す
 曲がりくねる
 (wind, wound, wound)"
spend	"(金)を費やす
 (時)を過ごす
 
 (spend, spent, spent)"
part	"部分
 役目
 を分ける
 分かれる"
favor	"好意
 恩恵
 に好意を示す"
daylight	"日光
 （日中）
 （夜明け:dawn）"
affair	出来事
scissors	はさみ
boast	(を)自慢する
paper	"紙(a piece of paper)
 新聞
 答案
 （論文）
 （書類 papers）"
spoon	スプーン
pack	"包み
 (を)荷造りする"
open	"を開ける
 開く
 開いた(広い)"
notebook	ノート
firm	"堅い
 商会"
answer	"(に)答える
 答え
 手紙の返事"
sock	"靴下
 （a pair of socks）
 
 (長い靴下は stockings)"
hole	穴
sir	"*あなた*、*先生*
 
 (目上の男性や店の男性客との丁寧な会話。
 女性ではma'am）
 (Good morning, sir.)"
tend	する傾向がある
scientific	"科学の
 科学的な"
probable	"ありそうな
 （8~9割）"
grease	"グリース(油脂)
 にグリースを塗る"
gentleman	"紳士（manの丁寧語）
 
 （男性だけの集団に対し
 Gentlemen! 皆さん！）"
home	"*家庭*(の) 
 *家へ*(に)
 （故鄉）"
reach	"*に着く* (to なし)
 (に)届*く*
 リーチ
 （範囲）
 
 （reach Tokyo）
 （get to Tokto）
 (arrive in Tokyo）"
tip	"先端
 チップ"
growth	"成長
 発展
 増加"
jealous	しっと深い
wax	"ろう
 ワックス"
pick	"を選ぶ
 を摘む
 をつつく
 
 （pick out : 選び出す）
 （pick up:拾い上げる）"
come	"（基本義：話し手の視点が
 置かれている所に移動）
 (話し手の方へ) *くる*
 (話相手の方へ) *行く*
 (come, came, come)
 
 (文法･辞書を必読)
 ( I'm coming. 今､いきます)"
block	"木・石などの塊
 ふさぐ"
mad	"気が狂った
 ひどく怒って"
colony	"植民地
 （居住地）"
rush	"突進する
 急いでする
 を急がせる
 突進"
valuable	貴重な
interference	"干渉
 妨害"
wheel	車輪
left	左(の､に）
bay	"湾
 (gulfより小)"
title	"題名
 肩書"
spade	"鋤(すき)
 スペード札"
only	"ただ・・だけ
 ただ一つの"
maybe	"*かも知れない* （五分五分）
 -
 （ﾆｭｰｾﾝﾁｭﾘｰ辞書:三省堂より
 probably・・80% たぶん
 likely ・・70%
 maybe ・・50%
 perhaps・・50%
 possibly・・20%)"
elephant	象
proffesion	"職業
 (知的､専門的な
 職業を意味する)"
correct	"正しい
 を訂正する"
level	"水平(にする)
 平らな"
square	"正方形(の)
 ２乗(する)"
destruction	破壊
ideal	"理想的な
 理想"
lump	"かたまり
 （こぶ）"
haste	急ぐこと
decide	(を)決める
else	その他の(に)
ever	"いままでに
 一体（強調の疑問）
 
 (What ever are you doing?)"
translate	(を)翻訳する
busy	"忙しい
 にぎやかな
 (米)(電話が話し中)
 (The line is busy.)"
train	"列車
 を訓練する"
"bathe
 （英 bath）"	(米)入浴(水浴)する、させる
promise	"約束
 (の)約束をする"
flash	"ひらめき
 閃光
 ぱっと光る"
another	"もう一つ(1人)の
 別の物(人)
 
 (対象が 複数 others あり )
 (oneとanotherとanotherと・・・)
 (対象が二つならone と the oher)"
daily	"毎日の
 毎日(=evry day)"
shallow	浅い
possible	"可能な
 ありうる"
jaw	あご
invent	を発明する
electric	電気の
state	"*州*
 国*家*
 状*態*
 を述べる
 
 （state：法・政治に重点
 を置いた「国家」）"
urgent	緊急の
judge	"裁判官
 審判員
 (を)裁く
 を判断する"
unity	"統一
 協調"
landlord	"地主、家主
 旅館の主人"
awkward	"ぎこちない
 不器用な"
taste	"味
 好み
 を味わう
 の味がする"
wine	ワイン
could	"・・*することができた*
 ・・*して下さいますか*
 
 （助動詞canの過去）
 (文法･辞書を必読)
 (能力・丁寧・仮定など)"
office	事務所
army	"*陸軍*、*軍隊*
 
 (an occupation army 占領軍)
 (海軍navy､空軍air force)
 (総称 the armed forces)"
expensive	高価な
yet	"まだ、もう
 しかし"
