*	name	GSL01
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	max-new-cards	200
*	max-cards-in-round	200
*	card-theme	Chalkboard - Clear 2
*	tsv	true
*	deck-stats-1	2044,2044,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Text 1	Text 2
now	今
mark	"(原義：境界の印)
 印
 的、跡
 成績、点数
 に印をつける"
tube	管
way	"道
 方法"
arm	"腕､(腕形状の物)
 武器(arms)"
literary	文学の
resistance	"抵抗
 （電気抵抗）"
solution	解決
basin	"洗面器
 水ばち
 盆地"
certainty	確実性
humble	"謙虚な
 粗末な"
scale	"目盛り､定規
 規模"
bundle	"束
 を包みにする"
world	世界
equal	"*等しい* (形容詞)
 *に等しい* (動詞)
 
 （All men are equal.）
 （One plus two equals three.）"
live	"生きる
 住む
 
 （異義語 発音[laiv]）
 生きている､なまの
 生放送で"
exchange	"を交換する
 交換"
alone	"*ひとりで*
 *だけで*
 
 （The two children were home alone.)
 （二人だけで家にいた)"
within	"・・以内で 
 の内側に"
multiplication	"乗法
 (大幅な)増加"
day	"日
 日中"
examine	"*を調べる*､検*査する*
 
 （examination：試験）
 （examine：綿密に調査する､一般語
 日常語は look at, go into）
 （investigate:事実解明の組織的調査
 日常語はlook into）
 （inspect：手落や欠陥を念入点検）
 （ check：口語的、確かめること ）"
witness	"目撃者
 証人
 目撃する"
repeat	(を)繰り返す
where	どこに
light	"光・明かり
 明るい
 に火をつける
 
 軽い(異義語)"
allow	を許す
over	"の上に
 より多い
 終わって
 
 (onの接触に比しoverは弧を描くように超える､あるいは覆う)
 (She put her hands over her face.)"
several	"いくつかの
 （3,4以上many以下）
 数個(複数扱い)"
importance	重要性
soul	魂
tour	"周遊旅行
 周遊する"
cat	"猫
 
 (子猫は kitten)"
engineer	技術者
baby	"*赤ん坊*
 
 ( it, baby boy, baby girl
 で言うこともある)"
instead	"代わりに
 それよりも"
cool	"涼しい
 （冷静な）
 （かっこいい(口語)）
 を冷やす
 （冷える、冷める）"
ink	インク
elsewhere	ほかの所で
mouse	"ハツカネズミ
 (西洋の家ネズミ)
 パソコンのマウス
 
 (複数は mice)
 (日本の家ネズミはrat)"
relieve	"(苦痛など)を取り除く
 人を交替させる"
treasure	"宝物
 （しまって置いた金銀宝石）"
anxiety	心配
alive	"生きている
 (生き生きして)"
shirt	"ワイシャツ
 (男性用ワイシャツを
 指すがスポ-ツシャツや
 女性用ﾌﾞﾗｳｽｼｬﾂも含む)"
west	"西(の､へ)
 西洋(the West)"
none	"だれも・・ない
 
 （None of the students like the teacher.)"
moderate	適度の
escape	"から逃げる
 (escape from)
 を逃れる
 (escape a disaster)"
first	"第一の(に)
 最初の(に)
 最初(the first)"
disapprove	"賛成しない
 を認可しない(堅い語)"
photography	"写真術
 写真撮影
 
 （No photography）
 （撮影禁止）"
news	"*ニュース*
 （不可算名詞）
 (a piece of news)
 (a lot of news、否定much)
 
 (Here is good news for you.)
 (No news is good news.)"
miserable	みじめな
grateful	感謝している
gay	"同性愛の
 同性愛者 (特に男性)
 
 (gayは男女ともに用いられるが
 特に性別を明らかにする場合は 
 gay:男性、lesbian:女性 を用いる)"
spread	"を広げる
 広がる
 
 (spread, spread, spread)"
due	"当然支払うべき(原義)
 （正当な）
 （予定されている）
 （のために)(due to ）"
control	"を支配・管理する
 支配､管理､統制"
account	"説明､(記事)
 口座、勘定
 説明する(acount for)
 
 (原義が ｢計算｣ で多義）"
coffee	コーヒー
away	"離れて(基本義)
 あちらへ"
thorough	徹底的な
shake	"*を振る*
 揺*れる*
 
 (shake, shook, shaken)
 （I shook hands with him.) 
 （私は彼と握手した）
 *振ること*"
lovely	"（主に英で多用される）
 美しい
 すばらしい(口語)"
brain	脳
safety	安全
fix	"を固定する
 日取りを決める
 を修理する"
telegraph	"電信装置
 (1通1通の電報はtelegram)"
electrician	電気技師
pocket	"ポケット
 をポケｯトに入れる
 着服する"
nail	"釘
 爪"
pressure	圧力
upper	上部の
nowhere	どこにも・・ない
spite	"悪意 
 にもかかわらず
 （in spite of ）"
wealth	富(財産)
bread	"*パン*
 
 (不可算､種類は可算）
 (a loaf of bread, two loaves of ・・)
 (a slice of bread, two slices of・・)"
hot	"あつい
 (署い、熱い)"
subject	"主題
 学科
 (主語)
 (支配を受ける)
 (を服従させる )
 
 (be subject to は意味が
 多く難物。辞書必読｡)"
disregard	"を無視する
 無視"
urge	"しきりに勧める
 せき立てる"
wrap	を包む
moderation	中庸
stove	"(調理用)コンロ
 ストーブ"
gift	贈り物
point	"点
 指さす
 を指摘する
 (point out)"
king	"王
 実力者"
fool	ばかもの
secrecy	秘密の状態
approve	"(良いと)認める
 賛成する"
large	"大きい
 多量の"
distinguish	(を)区別する
signal	"信号
 合図
 信号を送る"
frequent	"頻繁な
 常習的な"
impossible	不可能な
attractive	魅力的な
handkerchief	ハンカチ
hill	丘
coal	石炭
deafen	の耳を聞こえなくする
thicken	"厚くなる
 を厚くする"
recommend	を推薦する
secret	秘密(の)
stroke	"打つこと
 脳卒中
 （筆の一筆）"
cook	"*コック*
 (を)*料理する*
 
 (cook は 熱を使う料理)
 (サラダは make a salad)"
flavor	味､風味
provide	"を供給する
 に備える"
stain	"(を)汚す
 汚れ"
if	"もし・・ならば
 たとえ・・でも
 かどうか"
misery	みじめさ
whiten	"を白くする
 を漂泊する"
separate	"を分ける
 分かれた"
neat	"きちんとした
 すてきな"
owe	を借りている
iron	鉄
city	市 (都市)
bear	"に耐える、を支える
 を運ぶ(基本義)
 (bear, bore, borne)
 
 子を産む( be born )
 (子を産む では
 bear, bore, born がふつう)
 
 *熊*（異義語）"
bag	"袋
 バッグ
 かばん"
mix	"を混ぜる
 混ざる"
term	"期間
 学術語
 条件"
agriculture	農業
lawyer	弁護士
relation	関係
cloth	布
perfection	完全､完璧
shield	"シールド
 を保護する"
visitor	訪問者
bad	"悪い
 （病気がひどい）
 （下手な､間違った）
 （腐った）"
person	人
butter	バター
fever	"発熱
 
 (She has a very high fever.)"
strong	"強い
 得意な
 濃い"
prize	"賞
 褒美"
criminal	"犯罪の
 犯人"
meanwhile	"その間に
 一方では"
bed	"ベッド
 
 (花壇 flowerbed)
 (平らな基盤 川床など)"
move	"を動かす
 を感動させる
 動く
 に引っ越す"
slight	わずかな
connect	をつなぐ
choose	"(を)選ぶ
 
 (choose, chose, chosen)"
sudden	突然の
highway	"(米)幹線道路
 
 (各国で種々の
 英語名称あり)"
trick	"いたずら
 たくらみ
 手品
 をだます"
music	音楽
noise	騒音
mile	"マイル
 （約1.609 km)"
secretary	"秘書
 (米)長官
 （大臣にあたる）"
moonlight	月光
width	幅
advantage	"長所
 有利な点"
discomfort	不快
everyone	"*誰でも*､*みんな*
 （単数扱い）
 
 (Everyone wants peace.)"
profit	"利益
 利益を得る"
hesitation	ためらい
formal	"正式の
 公式の
 堅い"
lipstick	口紅
absent	"不在の
 欠席の
 (故意に欠席を
 意味することが多い)"
mind	"心、考え
 を嫌がる
 気をつける
 気にする"
enjoy	(を)楽しむ
delivery	配達(品)
sorry	"すまなく思って
 残念で
 気の毒で
 
 (会話多用､用例暗記必須)"
fence	"囲い
 （垣､柵､塀）"
inquire	"を尋ねる
 尋ねる"
obedient	従順な(to)
chest	"胸
 整理だんす"
necessary	"必要な
 （必然的な）"
work	"仕事
 （職、作品）
 （工場 works）
 働く
 を動かす"
house	"*家* (建造物)
 *建物*
 
 (原義：人を外界から隠すもの、
 議事堂やホテルの意味もある)
 
 (動詞 発音[hauz])
 (住居を提供する)
 (を収納する)"
lamp	ランプ
object	"*物*
 対*象*
 *目的*(目的語)
 *反*対*する*
 （object to 名詞・doing）
 *と言って反*対*する*
 （object that・・）"
frighten	"を怖がらせる
 をおどかす"
brass	真ちゅう
success	成功
redden	"を赤くする
 赤くなる"
future	未来(の)
guest	客
worse	より悪い
speak	"(を)話す
 
 (speak, spoke, spoken)"
being	"*存在*
 (beの現在分詞)
  
 （a human being 人間）"
division	"分割
 部門
 割り算"
they	"彼ら､彼女ら
 それら"
origin	起源
lazy	"怠け者の
 怠慢な"
knowledge	知識
foot	"*足* (足首から下)
 *フィート*(約30.48cm)
 （one foot, two feet)
 
 (形容詞用法では単数形
 a two-foot rule 2ﾌｨｰﾄ定規)
 (1 foot=12 inches=1/3 yards)"
the	"その
 (常識､共通知識､話の前後関係から、１つしかない､１つに絞られる場合は the をつける)
 
 (定冠詞:文法･辞書を必読)"
oar	オ－ル(かい)
today	"きょう
 (今日では)
 (現代では)"
motion	"運動
 (に)合図する"
omission	"省略
 (動詞 omit の名詞)"
selfish	利己的な
ugly	みにくい
detail	詳細
avenue	"大通り
 (略はAv.,又はAve.)"
education	"教育
 （教育学､教育法､教養）"
deed	行為
luck	"運
 幸運"
meal	食事
split	"を割る
 裂け目
 
 (split, split, split)"
current	"現在の
 流れ
 電流(electric current)"
crack	"割れ目
 ひびを入れる
 ひびが入る
 （をぶつける）"
matter	"事柄、問題
 （事態 matters）
 （物質）
 重要である
 
 (It is a matter of life and death.)"
castle	城
everlasting	永久の
court	"コート
 法廷"
elastic	"弾力のある
 （弾性の）"
neck	首
