*	name	Duo3.0 Sentence
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
Text1	Text2
個人の意志は尊重しなければいけない。	We must respect the will of the individual.
気楽にいけよ。大丈夫、すべてうまくいくさ。	Take it easy. I can assure you that everything will turn out fine.
悲観的な人生観を捨てて、前向きな態度を常に持ち続けよう。	Let go of your negative outlook on life. Always maintain a positive attitude.
生まれた国、性別、信条に関係なく、誰に対しても公平でなくてはならない	You should be fair to everyone regardless of national origin, gender, or creed.
平等は憲法で守られている。	Equality is guaranteed by the Constitution.
彼は柱に寄りかかって、自由の女神像をじっとみつめた	He leaned against the pillar and gazed at the Statue of Liberty.
香水のほのかな香りを漂わせながら、一人の女性が僕の前を通り過ぎた。前の彼女のことを思い出してしまった。	A woman passed by me giving off a subtle scent of perfume. It reminded me of my ex-girlfriend.
納豆はにおいはひどいけれど味は最高。	'Natto'' smells awful but tastes terrific.
「汗でびしょぬれだよ。」「来ないで！臭いわ。シャワーを浴びて。」	"I'm soaked with sweat. Stand back! You stink. Take a shower."""
ボブはひどく取り乱していて、現実と虚構の区別がほとんどできなかった。	Bob was so beside himself that he could scarcely tell fact from fiction.
まもなく出版になる彼の小説は、散文に彼の詩の才能を融合させたものだ。	His new novel, which combines prose with his gift for poetry, is going to be published.
来月、その百科事典の最新版が出る。	An up-to-date edition of the encyclopedia will come out next month.
山田さんがその心ひかれるおとぎ話をやさしい日本語に翻訳 した。	Ms. Yamada translated the fascinating fairy tale into plain Japanese.
以下の一説は有名な寓話からの引用です。	The following passage is quoted from a well-known fable.
「現代文学に詳しいですか？」 「ほとんど知りません。」	"Are you familiar with contemporary literature? ""I know next to nothing about it."""
"時々、""curve""と""carve""を混同してしまう。"	"At times I confuse ""curve"" with ""carve."""
恥ずかしがらないで。あなたの発音はだいたい合っています。	Don't be shy. Your pronunciation is more or less correct.
この記事には語彙を本気で増やしたいと思う人々に役立つ情報が含まれています。	This article contains tips for those who are eager to increase their vocabulary.
彼の最新の作品が市庁舎で展示されているの｡言葉にできないほど紫敵よ。	His latest works are on display at the city hall. They are fabulous beyond description.
「少し詰めていただけませんか？」「あ、ごめんなさい。こんなに 場所を取っていたなんて気付きませんでした｡」	"Could you move over a little? ""Oh, sorry. I didn't realize I was taking up so much space."""
「この不格好な物体は何？」 「これは抽象芸術の作品だよ！」	"What's this ugly object? ""This is a piece of abstract art!"""
100ドル貸してくれとリッチーに頼んだら、彼は「俺もお金がないんだよ！」と言って首を横に振った。	"I begged Richie to lend me a hundred bucks, but he shook his head, saying, ""I'm broke, too"""
「安売りをしているといつも衝動買いしてしまうたちです。」 「私も。」	"I'm apt to buy things on impulse whenever something is on sale. ""So am I."""
実際のところ、普通の人々にはそんな贅沢品を購入する余裕はない。	As it is, ordinary people cannot afford to purchase such luxuries.
予期していたとおり、失業率は3四半期連続で上昇した。	As we anticipated, the unemployment rate has risen three quarters in a row.
出費を切り詰めないと。だから、これからは使ったお金は一日単位で記録していくつもりだ。	I have to cut down on my expenses, so from now on, I'm going to keep track of them on a daily basis.
いずれにせよ、組合側はある程度妥協しなければならない	In any case, the union has to compromise to a certain extent.
有能な整備士は引っ張りだこだから、なかなかの賃金を稼げる。	Competent mechanics are in great demand, so they earn decent wages.
大統領は福祉改革を実行するための具体的な計画を発表した。	The president announced a concrete plan to carry out welfare reform.
彼の政策はきっと暗い結果を招くだろう。徹底的な見直しが必要だ。	His policy will no doubt lead to dismal consequences. It needs a thorough review.
社会の高齢化が避けられないことは言うまでもない。	It goes without saying that the aging of society is inevitable.
この表をご覧になってください。少年非行が深刻な割合で増加していることを示しています。	Please take a look at this chart. It indicates that juvenile delinquency is on the increase at an alarming rate.
多くの商業地区では、数年間売りに出されている空き地がたくさんある。	In many business districts, there are a lot of vacant lots which have been for sale for years.
大都市の人口密度が徐々に低下している。	The population density in the metropolis is gradually decreasing.
ほぼ間違いなくこの先数年、出生率は減少の一途をたどるだろう。	In all likelihood, the birthrate will continue to decline steadily for years to come.
その発電所は遠く離れた郡に電気を供給している。	The power plant supplies the remote county with electricity.
許可なくこの装置を操作することはできません。	You are not allowed to operate this device without permission.
